Temperature,Humidity
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
20,50
